* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:41:41 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: R1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
165.841752 76.181 179.2650
167.043510 76.192 178.7734
168.253976 76.202 178.2764
169.473213 76.212 177.7742
170.701286 76.220 177.2672
171.938258 76.227 176.7560
173.184194 76.233 176.2410
174.439158 76.237 175.7228
175.703216 76.241 175.2017
176.976434 76.243 174.6782
178.258878 76.244 174.1530
179.550615 76.244 173.6265
180.851713 76.243 173.0989
182.162239 76.240 172.5708
183.482262 76.237 172.0426
184.811850 76.232 171.5145
186.151073 76.226 170.9868
187.500000 76.219 170.4598
188.858702 76.210 169.9338
190.227250 76.201 169.4089
191.605715 76.191 168.8853
192.994169 76.179 168.3632
194.392685 76.167 167.8427
